A, B, C, D, Label
 -2.206,  -3.399,  -2.347,  -3.303, classA
 -4.066,  -0.374,  -1.707,  -3.709, classA
 +0.919,  -4.011,  +1.741,  -3.728, classA
 +1.060,  -4.008,  +2.290,  -3.456, classA
 -1.388,  -3.940,  +3.283,  -2.583, classA
 -0.286,  -4.199,  -1.646,  -3.874, classA
 -2.203,  -3.623,  +2.335,  -3.540, classA
 +2.051,  -3.747,  +2.830,  -3.200, classA
 -0.392,  -4.285,  -0.660,  -4.252, classA
 -0.842,  -4.252,  +0.850,  -4.251, classA
 +2.915,  -3.251,  +3.310,  -2.847, classA
 +0.699,  -4.342,  +0.750,  -4.333, classA
 +2.392,  -3.727,  +3.627,  -2.542, classA
 +4.455,  -0.216,  +3.762,  -2.396, classA
 +4.470,  -0.439,  +3.547,  -2.756, classA
 -0.577,  -4.486,  +2.966,  -3.415, classA
 +4.526,  -0.508,  +3.753,   2.581, classA
 +3.447,  -3.025,  +3.908,   2.399, classA
 +4.298,  -1.687,  +3.275,  -3.255, classA
 +4.516,   1.102,  +3.665,  -2.860, classA
 +4.649,  -0.543,  +4.543,   1.124, classA
 +4.609,  -0.978,  +4.711,   0.065, classA
 +4.737,  -0.236,  +4.742,  -0.095, classA
 +4.684,  -0.925,  +3.815,  -2.871, classA
 +2.012,   4.365,  +4.518,   1.639, classA
 -1.643,  -0.420,  -1.398,   0.959, classB
 -1.698,  -0.315,  -1.610,   0.625, classB
 -1.645,   0.623,  -1.320,  -1.162, classB
 -1.703,   0.550,  -1.775,   0.235, classB
 -1.598,  -0.875,  -1.733,  -0.561, classB
 -1.437,  -1.169,  -1.686,   0.769, classB
 -1.584,  -1.021,  -1.804,  -0.544, classB
 -0.091,  -1.914,  -0.753,  -1.762, classB
 -1.928,   0.270,  -0.809,  -1.771, classB
 -1.843,  -0.719,  -1.096,  -1.647, classB
 -1.979,  -0.354,  -1.366,  -1.475, classB
 -1.647,  -1.206,  -1.267,  -1.601, classB
 +0.092,  -2.071,  -1.989,  -0.585, classB
 -1.277,  -1.672,  -1.027,  -1.837, classB
 -1.518,  -1.502,  -2.119,   0.263, classB
 -1.846,  -1.135,  +0.095,  -2.165, classB
 -1.950,  -1.016,  -1.653,  -1.449, classB
 -2.229,  -0.072,  -0.743,  -2.103, classB
 -1.214,  -1.908,  -0.809,  -2.112, classB
 -0.063,  -2.292,  -0.641,  -2.201, classB
 +1.709,  -1.575,  -1.643,  -1.643, classB
 -0.392,  -2.323,  -0.387,  -2.324, classB
 +0.820,  -2.242,  -0.543,  -2.324, classB
 -1.667,  -1.752,  -2.167,  -1.073, classB
 -0.647,  -2.363,  +0.014,  -2.450, classB
 +0.190,  -2.474,  +1.209,  -2.166, classB
 -2.475,  -0.434,  -2.299,  -1.013, classB
 +1.547,  -2.020,  -0.332,  -2.522, classB
 -1.266,  -2.243,  +0.225,  -2.566, classB
 -0.771,  -2.490,  +0.035,  -2.607, classB
 -0.988,  -2.446,  +1.156,  -2.371, classB
 +2.428,  -1.110,  +1.928,  -1.846, classB
 +1.098,  -2.468,  +2.005,  -1.810, classB
 +2.664,  -0.609,  +1.989,  -1.874, classB
 +1.937,  -1.972,  -1.182,  -2.498, classB
 +1.676,  -2.237,  +1.817,  -2.124, classB
 +1.309,  -2.505,  +2.005,  -1.993, classB
 +2.668,  -1.024,  +2.181,  -1.847, classB
 +2.175,  -1.902,  +2.365,  -1.660, classB
 +1.658,  -2.405,  +2.720,  -1.066, classB
 +2.915,  -0.466,  +2.132,  -2.042, classB
 +2.476,  -1.666,  +2.983,  -0.083, classB
 +2.871,  -0.921,  +2.035,  -2.225, classB
 +2.589,   1.607,  +2.063,  -2.242, classB
 +1.478,  -2.700,  +2.591,  -1.663, classB
 +3.074,  -0.470,  +3.087,  -0.373, classB
 +1.697,  -2.643,  +2.888,  -1.236, classB
 +2.992,  -1.054,  +2.924,   1.230, classB
 +3.195,  -0.242,  +2.511,   1.989, classB
 +3.235,   0.013,  +3.126,  -0.833, classB
 +1.537,  -2.882,  +1.652,  -2.818, classB
 +3.281,   0.335,  +3.178,   0.883, classB
 +3.262,  -0.669,  +2.706,   1.939, classB
 +3.359,   0.102,  +3.303,  -0.618, classB
 +0.995,   3.243,  +1.624,  -2.978, classB
 +2.799,   1.971,  +3.247,  -1.086, classB
 +3.073,   1.580,  +3.408,   0.566, classB
 +3.394,   0.796,  +3.378,   0.862, classB
 +1.793,   3.027,  +2.656,   2.307, classB
 +3.534,   0.324,  +2.463,   2.556, classB
 +3.310,   1.366,  +3.428,  -1.033, classB
 +3.080,   1.887,  +2.985,   2.034, classB
 +2.411,   2.732,  +2.974,   2.105, classB
 +3.162,   1.873,  +3.426,  -1.330, classB
 +3.040,   2.120,  +1.994,   3.124, classB
 +1.687,   3.336,  +3.323,   1.711, classB
 +3.309,   1.805,  +1.370,   3.512, classB
 +3.451,   1.592,  -0.742,   3.728, classB
 -0.037,   3.832,  +2.622,   2.795, classB
 +2.613,   2.846,  +1.924,   3.350, classB
 +3.009,   2.474,  +1.522,   3.585, classB
 +0.719,   3.860,  +1.253,   3.721, classB
 +2.699,   2.895,  +3.016,   2.563, classB
 +0.880,   3.891,  +2.572,   3.049, classB
 -2.166,   3.387,  -3.347,   2.228, classB
 +1.289,   3.842,  +0.218,   4.046, classB
 -1.527,   3.787,  -0.757,   4.013, classB
 +0.062,   4.114,  -1.262,   3.916, classB
 -0.325,   4.133,  -1.262,   3.949, classB
 -2.651,   3.229,  +3.183,   2.706, classB
 -1.963,   3.724,  +0.215,   4.204, classB
 -0.358,   4.225,  -2.786,   3.197, classB
 -1.967,   3.792,  +2.999,   3.043, classB
 -1.177,   4.139,  +0.378,   4.287, classB
 -2.145,   3.767,  -2.184,   3.744, classB
 -2.576,   3.525,  -2.643,   3.476, classB
 -2.997,   3.218,  -1.583,   4.103, classB
 +0.009,   4.429,  -1.446,   4.186, classB
 -0.461,   4.437,  -1.930,   4.021, classB
 -3.100,   3.251,  -0.510,   4.463, classB
 -4.053,   2.008,  -1.786,   4.156, classB
 -4.177,   1.815,  -3.835,   2.457, classB
 -4.380,   1.358,  -3.561,   2.890, classB
 -4.546,   0.807,  -4.357,   1.530, classB
 -3.583,   2.963,  -4.649,   0.048, classB
 -3.890,   2.602,  -4.669,   0.323, classB
 -4.475,   1.475,  -3.676,   2.948, classB
 -4.045,  -2.477,  -3.522,   3.177, classB
 -4.440,   1.755,  -4.729,   0.655, classB
 -4.489,   1.717,  -4.535,  -1.590, classB
 +1.424,   0.921,  +1.686,  -0.186, classA
 +1.112,   1.322,  +1.411,   0.996, classA
 +1.668,  -0.556,  +1.684,  -0.506, classA
 +1.630,   0.739,  +1.622,   0.758, classA
 +1.821,  -0.050,  +1.817,  -0.129, classA
 +1.843,  -0.188,  +1.573,   0.980, classA
 +1.324,   1.341,  +1.466,   1.184, classA
 +0.854,   1.715,  +0.945,   1.666, classA
 +1.930,   0.256,  +1.861,   0.572, classA
 +1.957,   0.289,  +1.582,   1.189, classA
 +0.704,   1.883,  -0.832,   1.830, classA
 +1.340,   1.540,  +2.008,   0.370, classA
 +1.749,   1.112,  -0.760,   1.929, classA
 +1.833,   1.033,  +1.562,   1.410, classA
 +2.031,   0.660,  +1.501,   1.519, classA
 +1.981,   0.879,  +0.756,   2.031, classA
 +1.593,   1.515,  +1.067,   1.922, classA
 +1.093,   1.944,  +2.211,  -0.286, classA
 +0.900,   2.075,  +1.226,   1.900, classA
 -0.820,   2.141,  +2.281,  -0.227, classA
 -0.025,   2.324,  +1.825,   1.439, classA
 -0.278,   2.339,  -1.078,   2.094, classA
 +0.830,   2.238,  +0.370,   2.358, classA
 +1.036,   2.185,  -0.567,   2.351, classA
 +0.440,   2.410,  +2.200,   1.077, classA
 -0.244,   2.469,  +0.574,   2.414, classA
 -0.470,   2.468,  +0.783,   2.387, classA
 -0.141,   2.540,  +0.624,   2.466, classA
 -0.099,   2.574,  -2.143,   1.428, classA
 -2.387,   1.047,  +0.349,   2.583, classA
 -0.801,   2.514,  -2.409,   1.076, classA
 -0.041,   2.669,  -0.209,   2.661, classA
 -1.943,   1.876,  -1.017,   2.502, classA
 -1.267,   2.421,  -2.462,   1.185, classA
 +0.848,   2.631,  -0.858,   2.627, classA
 -1.546,   2.329,  -0.728,   2.699, classA
 +0.465,   2.788,  -2.105,   1.887, classA
 -1.380,   2.503,  -2.433,   1.499, classA
 -2.863,  -0.388,  -2.882,  -0.210, classA
 -2.919,   0.108,  -2.921,   0.030, classA
 -2.563,   1.465,  -2.352,   1.784, classA
 -2.496,   1.635,  -2.645,   1.382, classA
 -2.656,   1.427,  -2.772,   1.185, classA
 -1.981,   2.315,  -2.921,  -0.866, classA
 +0.697,   2.998,  -2.907,   1.011, classA
 -3.015,   0.760,  -3.038,  -0.665, classA
 -2.997,  -0.940,  -2.970,  -1.023, classA
 -3.043,   0.897,  -2.937,  -1.199, classA
 -2.574,   1.908,  -3.166,   0.488, classA
 -2.973,  -1.276,  -2.904,   1.427, classA
 -2.973,  -1.353,  -2.800,  -1.682, classA
 -3.264,  -0.472,  -1.582,  -2.894, classA
 -3.297,  -0.462,  -3.137,  -1.116, classA
 -2.988,   1.538,  -3.005,  -1.506, classA
 -3.325,  -0.670,  -2.071,  -2.687, classA
 -3.372,  -0.591,  -3.406,  -0.346, classA
 -2.827,  -1.987,  -2.437,  -2.449, classA
 -2.028,  -2.836,  -1.533,  -3.132, classA
 -3.515,  -0.140,  -2.810,  -2.116, classA
 -1.177,  -3.348,  -3.249,  -1.428, classA
 -3.497,  -0.770,  -2.344,  -2.707, classA
 -2.816,  -2.262,  -0.755,  -3.532, classA
 -3.643,  -0.064,  -2.485,  -2.664, classA
 -3.666,   0.254,  -3.143,  -1.905, classA
 -1.835,  -3.220,  +1.005,  -3.567, classA
 -2.907,  -2.350,  +0.163,  -3.734, classA
 -2.543,  -2.782,  -3.467,   1.480, classA
 -3.799,  -0.101,  +0.584,  -3.756, classA
 -2.491,  -2.912,  -3.211,  -2.092, classA
 +2.003,  -3.304,  +1.133,  -3.694, classA
 +0.253,  -3.887,  -2.746,  -2.762, classA
 +0.515,  -3.892,  -1.179,  -3.745, classA
 -2.079,  -3.368,  -2.176,  -3.306, classA
 +0.811,  -3.906,  -1.932,  -3.490, classA
 -0.444,  -3.996,  -0.117,  -4.019, classA
 -2.274,  -3.354,  +3.555,  -1.945, classA
 +3.115,  -2.641,  +2.397,  -3.306, classA
 +3.445,  -2.250,  -0.910,  -4.013, classA
 +1.276,  -3.945,  -1.160,  -3.981, classA
 -2.065,  -3.632,  +0.578,  -4.138, classA
 +3.271,  -2.649,  +3.564,  -2.239, classA
 -0.135,  -4.238,  +1.218,  -4.062, classA
 +2.100,  -3.720,  +2.908,  -3.130, classA
 +0.898,  -4.209,  +3.441,  -2.584, classA
 +0.570,  -4.297,  +2.214,  -3.727, classA
 +2.587,  -3.517,  -0.844,  -4.284, classA
 +0.536,  -4.365,  -0.088,  -4.397, classA
 +3.208,  -3.054,  +2.614,  -3.575, classA
 +4.460,   0.020,  +3.716,  -2.467, classA
 +4.308,  -1.273,  +3.417,  -2.916, classA
 +4.517,  -0.234,  +4.134,  -1.835, classA
 +3.219,  -3.223,  +4.512,  -0.625, classA
 +2.918,  -3.538,  +4.545,   0.610, classA
 +2.427,  -3.928,  +4.285,   1.721, classA
 +3.783,  -2.702,  +3.530,  -3.025, classA
 +3.675,  -2.899,  +4.210,  -2.045, classA
 +4.574,  -1.130,  +4.691,  -0.438, classA
 +3.953,  -2.621,  +4.229,  -2.149, classA
 +4.073,  -2.492,  +3.664,   3.062, classA
 +3.944,   2.746,  +4.123,   2.469, classA
 -1.580,  -0.615,  -1.694,  -0.082, classB
 -1.662,  -0.472,  -1.718,   0.181, classB
 -1.503,  -0.913,  -1.753,  -0.137, classB
 -1.397,  -1.119,  -1.712,  -0.522, classB
 -1.771,  -0.427,  -1.804,   0.249, classB
 -0.859,  -1.642,  -1.508,  -1.076, classB
 -1.854,  -0.336,  -1.846,   0.377, classB
 -1.857,  -0.472,  -1.762,  -0.751, classB
 -1.505,  -1.235,  -1.702,   0.946, classB
 -1.895,  -0.568,  -1.953,  -0.317, classB
 -1.254,  -1.571,  -1.985,   0.317, classB
 -0.169,  -2.034,  -1.975,  -0.516, classB
 -1.787,  -1.051,  +0.131,  -2.069, classB
 -2.087,   0.268,  -1.051,  -1.823, classB
 +0.266,  -2.119,  -0.732,  -2.006, classB
 -0.234,  -2.154,  +0.965,  -1.940, classB
 -2.183,  -0.256,  +0.214,  -2.188, classB
 -1.388,  -1.745,  -0.614,  -2.144, classB
 -0.674,  -2.158,  -2.194,  -0.548, classB
 +0.078,  -2.291,  -0.794,  -2.151, classB
 +1.645,  -1.642,  +0.087,  -2.322, classB
 +1.722,  -1.607,  -1.350,  -1.931, classB
 -0.802,  -2.248,  -0.182,  -2.380, classB
 -0.944,  -2.226,  +0.509,  -2.364, classB
 +0.599,  -2.375,  -0.989,  -2.241, classB
 +0.913,  -2.307,  -0.419,  -2.446, classB
 +0.148,  -2.508,  -1.799,  -1.754, classB
 +1.274,  -2.202,  -0.585,  -2.476, classB
 -0.540,  -2.518,  -0.503,  -2.526, classB
 +1.836,  -1.851,  -0.427,  -2.572, classB
 +2.567,  -0.610,  +1.263,  -2.316, classB
 +2.290,  -1.373,  +1.451,  -2.241, classB
 +1.768,  -2.042,  +0.055,  -2.701, classB
 +0.295,  -2.717,  +1.333,  -2.385, classB
 -2.278,  -1.566,  +0.778,  -2.652, classB
 +1.752,  -2.178,  -0.228,  -2.786, classB
 -0.552,  -2.772,  +0.858,  -2.693, classB
 +2.241,  -1.774,  +2.381,  -1.581, classB
 +1.035,  -2.698,  +2.248,  -1.815, classB
 +2.909,  -0.263,  +2.796,  -0.844, classB
 +2.261,  -1.898,  +2.631,  -1.339, classB
 +1.747,  -2.419,  +2.463,  -1.684, classB
 +2.822,   1.061,  +2.468,  -1.732, classB
 +2.801,  -1.198,  +2.317,  -1.979, classB
 +2.868,  -1.117,  +3.028,   0.551, classB
 +3.047,  -0.619,  +2.970,  -0.921, classB
 +3.119,  -0.374,  +2.720,  -1.571, classB
 +3.172,  -0.024,  +3.098,  -0.682, classB
 +1.921,   2.564,  +3.153,   0.567, classB
 +1.854,  -2.651,  +3.159,  -0.697, classB
 +0.928,  -3.132,  +3.213,  -0.591, classB
 +3.172,  -0.901,  +3.229,   0.671, classB
 +3.027,   1.386,  +2.989,   1.467, classB
 +2.952,   1.607,  +2.739,   1.947, classB
 +3.298,   0.792,  -0.596,   3.340, classB
 +2.828,  -1.930,  +3.351,   0.702, classB
 +3.282,  -1.079,  +2.915,   1.856, classB
 +2.873,   1.976,  +3.420,   0.680, classB
 +0.945,   3.389,  +2.131,   2.799, classB
 +3.199,   1.537,  +1.698,   3.117, classB
 +2.767,   2.273,  +0.226,   3.574, classB
 +0.765,   3.530,  +0.678,   3.548, classB
 +3.518,   0.947,  +3.156,   1.821, classB
 +1.912,   3.138,  +3.176,   1.849, classB
 +3.446,   1.364,  +3.419,   1.431, classB
 +2.635,   2.651,  +1.117,   3.567, classB
 +0.415,   3.746,  +2.626,   2.704, classB
 +1.946,   3.265,  +1.432,   3.521, classB
 +2.458,   2.940,  +2.022,   3.255, classB
 +0.565,   3.822,  +0.730,   3.794, classB
 +0.195,   3.890,  +1.821,   3.443, classB
 +0.423,   3.903,  +3.135,   2.363, classB
 +1.870,   3.488,  +0.343,   3.943, classB
 +0.452,   3.963,  +3.849,   1.047, classB
 +0.313,   4.008,  +2.593,   3.073, classB
 -1.911,   3.573,  -2.282,   3.348, classB
 -2.795,   2.977,  +0.155,   4.080, classB
 -3.065,   2.745,  -0.673,   4.059, classB
 -2.959,   2.905,  -4.118,   0.482, classB
 -0.715,   4.116,  -2.542,   3.315, classB
 -3.324,   2.582,  -0.076,   4.208, classB
 +0.191,   4.236,  -3.671,   2.123, classB
 -0.913,   4.173,  -2.261,   3.625, classB
 -2.092,   3.760,  -1.921,   3.851, classB
 -3.569,   2.460,  -2.262,   3.698, classB
 -4.364,   0.124,  -0.002,   4.366, classB
 -3.194,   3.023,  +0.454,   4.374, classB
 -2.437,   3.698,  -4.425,  -0.191, classB
 -4.218,   1.452,  -3.526,   2.732, classB
 -2.366,   3.818,  -3.499,   2.817, classB
 -1.717,   4.185,  -3.159,   3.237, classB
 -3.857,   2.422,  -3.517,   2.894, classB
 -4.580,   0.235,  -3.664,   2.758, classB
 -4.402,  -1.394,  -2.368,   3.964, classB
 -4.649,   0.019,  -4.633,  -0.381, classB
 -3.809,   2.720,  -4.535,  -1.156, classB
 -4.262,  -2.008,  -3.775,   2.819, classB
 -3.822,  -2.809,  -4.682,   0.759, classB
 -4.774,  -0.074,  -4.763,  -0.326, classB
 -4.285,  -2.177,  -4.462,   1.785, classB
 +1.696,  -0.023,  +1.667,   0.313, classA
 +1.679,  -0.404,  +1.050,  -1.372, classA
 +1.713,   0.399,  +1.751,  -0.162, classA
 +1.782,   0.173,  +1.778,   0.204, classA
 +1.762,  -0.460,  +1.498,   1.036, classA
 +1.291,   1.330,  +1.757,   0.590, classA
 +1.853,   0.342,  +1.652,   0.907, classA
 +0.809,   1.736,  +1.510,   1.179, classA
 +0.824,   1.764,  +0.280,   1.927, classA
 +1.937,   0.402,  +0.022,   1.978, classA
 +1.052,   1.713,  +1.961,   0.439, classA
 +1.951,  -0.601,  +1.901,   0.744, classA
 +0.006,   2.073,  +1.823,   0.987, classA
 +0.728,   1.974,  +1.041,   1.829, classA
 +1.785,   1.172,  +1.197,   1.769, classA
 +1.083,   1.877,  -0.310,   2.145, classA
 +2.191,  -0.183,  +0.706,   2.082, classA
 -0.948,   2.018,  +2.211,   0.286, classA
 +0.724,   2.142,  +1.098,   1.977, classA
 +1.624,   1.618,  -0.932,   2.095, classA
 +0.272,   2.308,  +1.777,   1.498, classA
 +1.460,   1.848,  -0.055,   2.355, classA
 +1.480,   1.873,  -0.536,   2.326, classA
 -1.107,   2.150,  -0.139,   2.414, classA
 +0.949,   2.258,  +0.129,   2.446, classA
 -0.262,   2.467,  -1.553,   1.935, classA
 -0.932,   2.333,  -2.055,   1.445, classA
 -0.985,   2.346,  +1.312,   2.180, classA
 -0.445,   2.537,  -1.382,   2.173, classA
 -1.493,   2.137,  +1.311,   2.253, classA
 -1.427,   2.219,  -0.785,   2.519, classA
 +0.497,   2.623,  -2.244,   1.447, classA
 -1.613,   2.167,  -2.155,   1.628, classA
 -1.327,   2.389,  -1.878,   1.985, classA
 -1.383,   2.393,  -0.034,   2.764, classA
 -1.336,   2.456,  -2.473,   1.304, classA
 -1.933,   2.062,  -1.601,   2.329, classA
 -0.848,   2.730,  -1.139,   2.622, classA
 -1.673,   2.356,  -2.830,   0.584, classA
 -1.837,   2.271,  -1.502,   2.505, classA
 -2.878,   0.660,  -2.935,   0.317, classA
 -1.823,   2.362,  -2.107,   2.113, classA
 -0.719,   2.928,  -2.819,   1.069, classA
 -1.476,   2.665,  -2.858,   1.056, classA
 -3.022,  -0.585,  -2.261,   2.088, classA
 -3.067,   0.510,  -1.754,  -2.567, classA
 -2.937,   1.113,  -3.137,   0.161, classA
 -3.115,  -0.602,  +1.666,   2.700, classA
 -3.167,  -0.485,  -1.886,   2.590, classA
 -3.010,   1.187,  -3.031,   1.132, classA
 -3.077,   1.098,  -3.163,   0.817, classA
 -3.225,  -0.689,  -1.838,  -2.738, classA
 -3.327,   0.132,  -3.097,   1.223, classA
 -2.643,  -2.076,  -3.296,   0.657, classA
 -3.107,  -1.362,  -2.878,  -1.796, classA
 -3.413,  -0.275,  -2.192,  -2.630, classA
 -3.417,  -0.513,  -2.916,  -1.853, classA
 -2.170,  -2.729,  -3.486,   0.077, classA
 -2.636,  -2.330,  -3.349,  -1.077, classA
 -3.126,  -1.681,  -1.770,  -3.076, classA
 -3.049,  -1.878,  -3.546,  -0.497, classA
 +0.105,  -3.611,  -0.691,  -3.545, classA
 +0.394,  -3.622,  -3.199,  -1.744, classA
 -2.611,  -2.586,  -2.739,  -2.450, classA
 -2.784,  -2.447,  -3.080,  -2.061, classA
 -0.527,  -3.701,  -3.325,  -1.708, classA
 -0.036,  -3.769,  -2.742,  -2.586, classA
 -2.168,  -3.122,  -1.759,  -3.369, classA
 -1.225,  -3.631,  -0.969,  -3.708, classA
 +1.053,  -3.717,  -3.183,  -2.190, classA
 +0.135,  -3.893,  -1.110,  -3.733, classA
 +0.920,  -3.817,  -1.156,  -3.752, classA
 -0.479,  -3.929,  -1.228,  -3.762, classA
 -0.819,  -3.904,  -0.557,  -3.950, classA
 -0.349,  -4.005,  -0.346,  -4.006, classA
 +1.830,  -3.615,  +0.795,  -3.973, classA
 +1.493,  -3.801,  +0.478,  -4.055, classA
 +0.013,  -4.115,  +0.247,  -4.107, classA
 -0.634,  -4.097,  -1.008,  -4.022, classA
 +2.109,  -3.606,  +3.752,  -1.838, classA
 +1.492,  -3.936,  +0.380,  -4.192, classA
 +3.258,  -2.714,  +2.155,  -3.652, classA
 +0.759,  -4.204,  +3.396,  -2.591, classA
 +1.341,  -4.089,  +4.151,  -1.135, classA
 +0.464,  -4.310,  +4.302,  -0.528, classA
 +3.213,  -2.957,  +2.940,  -3.228, classA
 +1.157,  -4.243,  +2.387,  -3.693, classA
 -0.790,  -4.358,  +4.262,  -1.205, classA
 +2.779,  -3.489,  +3.609,  -2.621, classA
 +4.209,  -1.569,  +3.662,  -2.602, classA
 +4.405,  -1.027,  +4.509,   0.353, classA
 +3.593,  -2.800,  -1.207,  -4.392, classA
 -0.146,  -4.584,  +4.163,  -1.924, classA
 +4.617,   0.039,  +4.162,  -1.999, classA
 +4.492,  -1.198,  +4.324,  -1.707, classA
 +3.293,  -3.325,  +4.608,   0.818, classA
 +4.668,   0.641,  +3.024,  -3.613, classA
 +4.304,  -1.994,  +3.298,  -3.409, classA
 +4.771,   0.185,  +4.771,  -0.181, classA
 +4.799,   0.263,  +4.486,   1.724, classA
 -1.599,  -0.564,  -1.478,   0.831, classB
 -1.718,  -0.174,  -0.969,   1.430, classB
 -1.754,   0.124,  -1.699,  -0.452, classB
 -1.685,   0.603,  -1.583,  -0.835, classB
 -1.520,  -1.004,  -1.423,  -1.137, classB
 -1.105,  -1.488,  -1.160,  -1.445, classB
 -1.878,   0.156,  -1.494,  -1.148, classB
 -1.827,  -0.577,  -1.890,   0.315, classB
 -1.947,   0.012,  -1.672,  -0.999, classB
 -1.969,  -0.195,  -0.863,  -1.781, classB
 -1.928,  -0.567,  -1.107,  -1.677, classB
 -2.008,   0.367,  -0.698,  -1.918, classB
 -0.278,  -2.054,  -0.217,  -2.061, classB
 -0.366,  -2.072,  -1.993,  -0.674, classB
 -1.720,  -1.266,  -2.034,  -0.650, classB
 -1.151,  -1.836,  +0.275,  -2.150, classB
 -1.802,  -1.259,  -1.449,  -1.653, classB
 -2.211,   0.287,  -2.095,  -0.765, classB
 -1.131,  -1.958,  -0.563,  -2.190, classB
 -0.065,  -2.292,  -1.568,  -1.672, classB
 -0.790,  -2.186,  -0.402,  -2.289, classB
 -0.385,  -2.324,  +0.255,  -2.342, classB
 -0.212,  -2.377,  -1.005,  -2.165, classB
 -1.587,  -1.825,  -0.029,  -2.418, classB
 -1.702,  -1.762,  -1.459,  -1.968, classB
 -1.462,  -2.005,  -0.370,  -2.454, classB
 -0.622,  -2.434,  +0.206,  -2.504, classB
 +0.567,  -2.480,  +2.061,  -1.491, classB
 -0.370,  -2.549,  +1.388,  -2.169, classB
 -0.552,  -2.548,  +1.155,  -2.337, classB
 -0.513,  -2.588,  +1.135,  -2.382, classB
 +0.925,  -2.504,  +1.985,  -1.785, classB
 +1.052,  -2.488,  -1.763,  -2.047, classB
 -0.327,  -2.713,  +2.084,  -1.767, classB
 -0.200,  -2.757,  +0.558,  -2.707, classB
 -0.060,  -2.795,  +1.692,  -2.225, classB
 -0.364,  -2.803,  -0.245,  -2.816, classB
 +0.910,  -2.709,  +2.586,  -1.218, classB
 +1.865,  -2.207,  +1.877,  -2.197, classB
 +2.720,  -1.065,  +1.457,  -2.532, classB
 +1.545,  -2.516,  +2.767,  -1.030, classB
 +0.909,  -2.842,  +2.623,  -1.423, classB
 +2.071,  -2.192,  +2.385,  -1.844, classB
 +3.038,   0.235,  +1.517,  -2.642, classB
 +2.675,   1.523,  +3.033,  -0.522, classB
 +2.905,  -1.108,  +1.683,  -2.615, classB
 +3.017,   0.875,  +3.035,   0.810, classB
 +3.148,  -0.394,  +3.145,  -0.418, classB
 +2.529,  -1.967,  +2.922,   1.313, classB
 +2.454,   2.108,  +2.553,  -1.988, classB
 +2.606,   1.969,  +2.935,  -1.434, classB
 +3.296,  -0.119,  +2.635,   1.984, classB
 +3.314,  -0.322,  +3.284,  -0.549, classB
 +1.643,   2.932,  +3.334,  -0.426, classB
 +3.386,   0.206,  +3.092,  -1.395, classB
 +3.280,   0.983,  +3.239,   1.110, classB
 +3.454,   0.085,  +2.710,   2.143, classB
 +3.447,   0.524,  +2.959,   1.843, classB
 +3.091,   1.679,  +2.532,   2.442, classB
 +3.539,   0.269,  +3.378,   1.091, classB
 +2.347,   2.704,  +1.579,   3.214, classB
 +3.085,   1.878,  +3.334,   1.389, classB
 +2.359,   2.776,  +2.343,   2.790, classB
 +3.573,   0.859,  +3.036,   2.071, classB
 +1.707,   3.290,  +2.735,   2.501, classB
 +2.917,   2.337,  +3.360,   1.638, classB
 +1.837,   3.292,  +0.371,   3.751, classB
 +1.873,   3.307,  +0.519,   3.765, classB
 +1.133,   3.661,  +2.839,   2.574, classB
 +1.503,   3.559,  +0.860,   3.766, classB
 +3.635,   1.400,  +1.881,   3.411, classB
 +2.512,   3.018,  +0.064,   3.926, classB
 +0.128,   3.956,  +2.911,   2.681, classB
 +2.766,   2.874,  +2.614,   3.013, classB
 +0.518,   3.987,  -1.243,   3.824, classB
 -2.408,   3.259,  +0.362,   4.036, classB
 +1.129,   3.924,  +1.147,   3.919, classB
 +0.839,   4.028,  -2.035,   3.577, classB
 -2.297,   3.452,  -3.088,   2.767, classB
 +2.184,   3.561,  -0.608,   4.133, classB
 -0.040,   4.209,  +0.344,   4.195, classB
 +2.389,   3.503,  -1.995,   3.742, classB
 +1.035,   4.145,  -0.389,   4.254, classB
 +1.139,   4.150,  -3.576,   2.394, classB
 -0.297,   4.325,  -1.363,   4.115, classB
 +0.260,   4.358,  +0.472,   4.341, classB
 -3.212,   3.004,  -3.795,   2.221, classB
 -3.676,   2.470,  -0.343,   4.416, classB
 -4.424,   0.571,  -4.408,   0.679, classB
 -4.265,   1.409,  -4.204,   1.582, classB
 -3.843,   2.385,  -3.368,   3.019, classB
 -3.771,   2.555,  -4.396,   1.191, classB
 -4.560,  -0.488,  +2.629,   3.757, classB
 -4.582,  -0.574,  -4.455,   1.214, classB
 -4.301,   1.765,  -4.233,   1.922, classB
 -2.235,   4.112,  -4.179,   2.107, classB
 -4.664,  -0.670,  -4.709,   0.160, classB
 -3.795,   2.845,  -4.711,   0.554, classB
 -4.253,  -2.169,  -4.087,   2.468, classB
 -4.512,  -1.655,  -4.186,  -2.362, classB
 +1.644,  -0.416,  +1.375,  -0.993, classA
 +1.166,   1.274,  +1.691,  -0.350, classA
 +1.431,   1.022,  +1.731,   0.309, classA
 +1.333,   1.195,  +1.036,   1.459, classA
 +1.781,   0.381,  +1.632,   0.809, classA
 +1.663,   0.817,  +1.842,   0.196, classA
 +1.762,   0.668,  +1.693,   0.827, classA
 +1.781,   0.707,  +1.911,  -0.137, classA
 +0.976,   1.685,  +1.798,  -0.746, classA
 +1.682,  -1.042,  +1.573,   1.200, classA
 +1.937,  -0.538,  +1.987,  -0.304, classA
 +1.943,   0.626,  +1.876,   0.805, classA
